phrase;replacements;message;url
"skipped over";"skipped";"At least you should use the proper form.";
"skum bag";"";"Are you kidding! Why would you type this!";
"skum";"";"Are you kidding! Why would you type this!";
"skumbag";"";"Are you kidding! Why would you type this!";
"slain";"";"Don't use this word";
"slanderize";"slander";"At least you should use the proper form.";
"slant eye";"";"Are you kidding! Why would you type this!";
"slant";"";"Are you kidding! Why would you type this!";
"slanteye";"";"Are you kidding! Why would you type this!";
"slave driver";"";"Are you kidding! Why would you type this!";
"slave";"secondary","worker","replica","node";"Avoid using the term `slave`, these suggestions are for the computer term";
"slavedriver";"";"Are you kidding! Why would you type this!";
"slaves";"secondaries","workers","replicas","nodes";"Don't use this word";
"sleeze bag";"";"Are you kidding! Why would you type this!";
"sleeze ball";"";"Are you kidding! Why would you type this!";
"sleezebag";"";"Are you kidding! Why would you type this!";
"sleezeball";"";"Are you kidding! Why would you type this!";
"slept like a log";"";"Don't use this word";
"slept";"";"Don't use this word";
"slid";"";"Don't use this word";
"slide it in";"";"Are you kidding! Why would you type this!";
"slideitin";"";"Are you kidding! Why would you type this!";
"slime ball";"";"Are you kidding! Why would you type this!";
"slime bucket";"";"Are you kidding! Why would you type this!";
"slime";"";"Are you kidding! Why would you type this!";
"slimeball";"";"Are you kidding! Why would you type this!";
"slimebucket";"";"Are you kidding! Why would you type this!";
"slinging mud";"";"Don't use this word";
"slippery as an eel";"";"Don't use this word";
"slit";"";"Don't use this word";
"slow as molasses";"";"Don't use this word";
"slow speed";"gradual";"At least you should use the proper form.";
"slow";"gradual";"Weasel Word Detected";
"slow-learner";"has a learning disability";"Unconcious Bias Detected";
"slower";"more gradually";"Weasel Word Detected";
"slowly but surely";"";"Don't use this word";
"slung";"";"Don't use this word";
"slut wear";"";"Are you kidding! Why would you type this!";
"slut whore";"";"Are you kidding! Why would you type this!";
"slut";"";"Are you kidding! Why would you type this!";
"sluts";"";"Are you kidding! Why would you type this!";
"slutt";"";"Are you kidding! Why would you type this!";
"slutting";"";"Are you kidding! Why would you type this!";
"slutty";"";"Are you kidding! Why would you type this!";
"slutwear";"";"Are you kidding! Why would you type this!";
"slutwhore";"";"Are you kidding! Why would you type this!";
"smack daddy";"";"Are you kidding! Why would you type this!";
"smack the monkey";"";"Are you kidding! Why would you type this!";
"smackthemonkey";"";"Are you kidding! Why would you type this!";
"smagma";"";"Are you kidding! Why would you type this!";
"small animal veterinarian";"small-animal veterinarian";"At least you should use the proper form.";
"small business loan";"small-business loan";"At least you should use the proper form.";
"small business owner";"small-business owner";"At least you should use the proper form.";
"small person";"person with dwarfism","little person","little people","LP","person of short stature";"Use this form, it's better. Trust me.";
"small size";"minuscule";"At least you should use the proper form.";
"small speck";"speck";"At least you should use the proper form.";
"small state senator";"small-state senator";"At least you should use the proper form.";
"small";"minuscule";"Weasel Word Detected";
"smaller";"tinier";"Weasel Word Detected";
"smart as a whip";"";"Don't use this word";
"smart ass";"";"Are you kidding! Why would you type this!";
"smelled";"";"Filler Word Detected";
"smitten";"";"Don't use this word";
"smooth as a baby's bottom";"";"Don't use this word";
"smorgasbord";"smörgåsbord";"It's Swedish";
"snatch patch";"";"Are you kidding! Why would you type this!";
"snatch";"";"Are you kidding! Why would you type this!";
"snatchpatch";"";"Are you kidding! Why would you type this!";
"sneaking suspicion";"";"Don't use this word";
"sniper";"";"Are you kidding! Why would you type this!";
"snot";"";"Are you kidding! Why would you type this!";
"snug as a bug in a rug";"";"Don't use this word";
"so";".";"Multiple Idea Word Detected";
"sob";"";"Are you kidding! Why would you type this!";
"societary";"societal";"At least you should use the proper form.";
"sociopath";"person with a personality disorder","person with psychopathic personality";"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
"sociopaths";"people with psychopathic personalities","people with a personality disorder";"Dumb here is used in 2 different contexts , the inability to talk or as a curse word.";
"sodomite";"gay";"Avoid using slang shorthand";
"sodomy";"";"Are you kidding! Why would you type this!";
"soft in texture";"soft";"Use this form, it's better. Trust me.";
"soft to the touch";"soft";"Use this form, it's better. Trust me.";
"software program";"software";"At least you should use the proper form.";
"soiree";"soirée";"It's French";
"sold down the river";"betray";"Unconcious Bias Detected";
"sold";"";"Don't use this word";
"sole of the foot";"sole";"At least you should use the proper form.";
"solicitate";"solicit";"At least you should use the proper form.";
"solid";"robust";"Emotional Word Detected";
"some time to come";"some time";"At least you should use the proper form.";
"some";"numerous";"Weasel Word Detected";
"somehow";"in some way";"Weasel Word Detected";
"somewhat of a";"";"No. Just no. Don't say this";
"son of a bitch";"";"Are you kidding! Why would you type this!";
"son";"child";"Using gender neutral language means users will help to break up gender stereotypes";
"sonofabitch";"";"Are you kidding! Why would you type this!";
"sonofbitch";"";"Are you kidding! Why would you type this!";
"sons";"children";"Using gender neutral language means users will help to break up gender stereotypes";
"soon";"in the near future";"Weasel Word Detected";
"sophisticated culture";"complex culture";"Avoid using terms that make some groups sound inferior. Replace “sophisticated” with a neutral term such as “complex”";
"sophisticated technology";"complex technology";"Avoid using `bugreport`, as the word `bugre` is a slur in Brazilian Portuguese";
"soprani";"sopranos";"At least you should use the proper form.";
"sorrow";"grief";"Emotional Word Detected";
"sort of";"somewhat";"Weasel Word Detected";
"souffle";"soufflé";"It's French";
"sought";"";"Don't use this word";
"soupcon";"soupçon";"It's French";
"source of truth";"source-of-truth";"Hyphenate words";
"sow wild oats";"";"Don't use this word";
"sown";"";"Don't use this word";
"spaceman";"astronaut";"Using gender neutral language means users will help to break up gender stereotypes";
"spacemen";"astronauts";"Using gender neutral language means users will help to break up gender stereotypes";
"spacewoman";"astronaut";"Using gender neutral language means users will help to break up gender stereotypes";
"spacewomen";"astronauts";"Using gender neutral language means users will help to break up gender stereotypes";
"spade";"a Black person";"Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests.";
"spake";"";"Don't use this word";
"spank the monkey";"";"Are you kidding! Why would you type this!";
"spankthemonkey";"";"Are you kidding! Why would you type this!";
"spare the rod, spoil the child";"";"Don't use this word";
"sparrow-like";"passerine";"There is a word for that";
"spastic";"person with cerebral palsy","twitch","flinch";"Don't use this word";
"spaz";"person with cerebral palsy","twitch","flinch","hectic";"Don't use this word";
"speak of the devil";"";"Don't use this word";
"special needs";"functional needs","has a disability","person with a disability","people with disabilities";"Use this form, it's better. Trust me.";
"special olympians";"athletes","Special Olympics athletes";"Can imply that people with disabilities lack the ability to use their bodies well. Sometimes `typical` can be used.";
"special olympic athletes";"athletes","Special Olympics athletes";"Can imply that people with disabilities lack the ability to use their bodies well. Sometimes `typical` can be used.";
"special rights";"equal rights","civil rights";"Derogatory terms for LGBTQ+ people are offensive";
"special";"has a disability","person with a disability","people with disabilities";"Use this form, it's better. Trust me.";
"specially abled";"has a disability","person with a disability","people with disabilities";"Use this form, it's better. Trust me.";
"specific details";"details";"At least you should use the proper form.";
"speculatory";"speculative";"At least you should use the proper form.";
"sped";"";"Don't use this word";
"spell out in detail";"spell out";"At least you should use the proper form.";
"spent";"";"Don't use this word";
"sperm bag";"";"Are you kidding! Why would you type this!";
"sperm hearder";"";"Are you kidding! Why would you type this!";
"sperm herder";"";"Are you kidding! Why would you type this!";
"sperm";"";"Are you kidding! Why would you type this!";
"spermacide";"";"Are you kidding! Why would you type this!";
"spermbag";"";"Are you kidding! Why would you type this!";
"spermhearder";"";"Are you kidding! Why would you type this!";
"spermherder";"";"Are you kidding! Why would you type this!";
"spic";"";"Are you kidding! Why would you type this!";
"spicey";"spicy";"This is the correct spelling";
"spick";"";"Are you kidding! Why would you type this!";
"spiked upward";"spiked";"Use this form, it's better. Trust me.";
"spiked upwards";"spiked";"Use this form, it's better. Trust me.";
"spilled the beans";"";"Don't use this word";
"spilt";"";"Don't use this word";
"spinning your wheels";"";"Don't use this word";
"spirit animal";"muse or inspiration";"Unconcious Bias Detected";
"spirit animals";"muses or inspirations";"Unconcious Bias Detected";
"spiritous";"spirituous";"At least you should use the proper form.";
"spit";"";"Don't use this word";
"spiteful";"retaliatory";"Emotional Word Detected";
"spitter";"";"Are you kidding! Why would you type this!";
"spitting image of";"";"Don't use this word";
"split tail";"";"Are you kidding! Why would you type this!";
"split tial";"";"Are you kidding! Why would you type this!";
"split";"";"Don't use this word";
"splittail";"";"Are you kidding! Why would you type this!";
"spoke with relish";"";"Don't use this word";
"spoken";"";"Don't use this word";
"spokesman";"speaker","spokesperson","representative";"Using gender neutral language means users will help to break up gender stereotypes";
"spokesmen";"speakers","spokespersons";"Using gender neutral language means users will help to break up gender stereotypes";
"spokeswoman";"speaker","spokesperson","representative";"Using gender neutral language means users will help to break up gender stereotypes";
"spokeswomen";"speakers","spokespersons";"Using gender neutral language means users will help to break up gender stereotypes";
"sportsman";"athlete","sports person";"Using gender neutral language means users will help to break up gender stereotypes";
"sportsmanlike";"fair","sporting";"Use this form, it's better. Trust me.";
"sportsmanship";"fairness","good humor","sense of fair play";"Use this form, it's better. Trust me.";
"sportsmen";"athletes","sports persons";"Using gender neutral language means users will help to break up gender stereotypes";
"sportswoman";"athlete","sports person";"Using gender neutral language means users will help to break up gender stereotypes";
"sportswomen";"athletes","sports persons";"Using gender neutral language means users will help to break up gender stereotypes";
"spread like wildfire";"";"Don't use this word";
"spread";"";"Don't use this word";
"spring season";"spring";"At least you should use the proper form.";
"spring to life";"";"Don't use this word";
"sprung";"";"Don't use this word";
"spun";"";"Don't use this word";
"squeaky wheel gets the grease";"";"Don't use this word";
"squelch";"quell' or 'quash";"At least you should use the proper form.";
"stability";"steadiness";"Emotional Word Detected";
"stable";"secure";"Emotional Word Detected";
"stagg";"";"Are you kidding! Why would you type this!";
"stained glass ceiling";"stained-glass ceiling";"At least you should use the proper form.";
"stained glass window";"stained-glass window";"At least you should use the proper form.";
"stammering";"stuttering","disfluency of speech";"Don't use this word";
"stands out like a sore thumb";"";"Don't use this word";
"starlings";"murmuration";"A group of starlings  is called a  murmuration";
"start from scratch";"";"Don't use this word";
"started";"";"Filler Word Detected";
"startling";"unexpected";"Emotional Word Detected";
"state sponsored terrorism";"state-sponsored terrorism";"At least you should use the proper form.";
"state sponsored violence";"state-sponsored violence";"At least you should use the proper form.";
"statesman like";"diplomatic";"Use this form, it's better. Trust me.";
"statesman";"senator";"Using gender neutral language means users will help to break up gender stereotypes";
"statesmanlike";"diplomatic";"Use this form, it's better. Trust me.";
"stateswoman";"senator";"Using gender neutral language means users will help to break up gender stereotypes";
"stationary";"";"Don't use this word";
"statute of limits";"statute of limitationas";"At least you should use the proper form.";
"statutorial";"statutory";"At least you should use the proper form.";
"steady";"constant";"Emotional Word Detected";
"stepbrother";"step-sibling";"Using gender neutral language means users will help to break up gender stereotypes";
"stepbrothers";"step-siblings";"Using gender neutral language means users will help to break up gender stereotypes";
"stepdad";"step-parent";"Using gender neutral language means users will help to break up gender stereotypes";
"stepfather";"step-parent";"Using gender neutral language means users will help to break up gender stereotypes";
"stepfathers";"step-parents";"Using gender neutral language means users will help to break up gender stereotypes";
"stepmom";"step-parent";"Using gender neutral language means users will help to break up gender stereotypes";
"stepmother";"step-parent";"Using gender neutral language means users will help to break up gender stereotypes";
"stepmothers";"step-parents";"Using gender neutral language means users will help to break up gender stereotypes";
"stepsister";"step-sibling";"Using gender neutral language means users will help to break up gender stereotypes";
"stepsisters";"step-siblings";"Using gender neutral language means users will help to break up gender stereotypes";
"steward";"flight attendant";"Using gender neutral language means users will help to break up gender stereotypes";
"stewardess";"flight attendant";"Using gender neutral language means users will help to break up gender stereotypes";
"stewardesses";"flight attendants";"Using gender neutral language means users will help to break up gender stereotypes";
"stewards";"flight attendants";"Using gender neutral language means users will help to break up gender stereotypes";
"stick in the mud";"";"Don't use this word";
"still continues to";"continues to";"At least you should use the proper form.";
"still lingers";"lingers";"At least you should use the proper form.";
"still persists";"persists";"At least you should use the proper form.";
"still remains";"remains";"At least you should use the proper form.";
"still waters run deep";"";"Don't use this word";
"still";"";"Filler Word Detected";
"stitch in time";"";"Don't use this word";
"stockman";"cattle worker","farmhand","drover";"Use this form, it's better. Trust me.";
"stolen";"";"Don't use this word";
"stone age";"simple","indigenous","hunter-gatherer";"Avoid using terms that make some groups sound inferior";
"stood";"";"Don't use this word";
"stop and smell the roses";"";"Don't use this word";
"straight as an arrow";"";"Don't use this word";
"straight forward";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
"straight forwardly";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
"straightforward";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
"straightforwardly";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
"strap on";"";"Are you kidding! Why would you type this!";
"strapon";"";"Are you kidding! Why would you type this!";
"straw that broke the camel's back";"";"Don't use this word";
"stressed";"strained";"Emotional Word Detected";
"stretched to the breaking point";"";"Don't use this word";
"stridden";"";"Don't use this word";
"stringer";"";"Are you kidding! Why would you type this!";
"strip club";"";"Are you kidding! Why would you type this!";
"stripclub";"";"Are you kidding! Why would you type this!";
"striven";"";"Don't use this word";
"stroke victim";"individual who has had a stroke";"Use this form, it's better. Trust me.";
"stroke";"";"Are you kidding! Why would you type this!";
"stroking";"";"Are you kidding! Why would you type this!";
"strong as an ox";"";"Don't use this word";
"struck by lightening";"struck by lightning";"This is the correct spelling";
"struck";"";"Don't use this word";
"strung";"";"Don't use this word";
"stubborn as a mule";"";"Don't use this word";
"stuck";"";"Don't use this word";
"stuff that dreams are made of";"";"Don't use this word";
"stuff";"items";"Be more specific";
"stuffed shirt";"";"Don't use this word";
"stung";"";"Don't use this word";
"stunk";"";"Don't use this word";
"stupid fuck";"";"Are you kidding! Why would you type this!";
"stupid fucker";"";"Are you kidding! Why would you type this!";
"stupid";"foolish","ludicrous","unintelligent";"Use this form, it's better. Trust me.";
"stupidfuck";"";"Are you kidding! Why would you type this!";
"stupidfucker";"";"Are you kidding! Why would you type this!";
"stupify";"stupefy";"This is the correct spelling";
"stutterer";"person who stutters";"At least you should use the proper form.";
"subjugatable";"subjugable";"This is the correct spelling";
"submergable";"submergible";"This is the correct spelling";
"submergeable";"submersible";"At least you should use the proper form.";
"submersable";"submersible";"This is the correct spelling";
"submittal";"submission";"At least you should use the proper form.";
"subtile";"subtle";"At least you should use the proper form.";
"subtley";"subtly";"This is the correct spelling";
"successful suicide";"die by suicide";"Using sensational words can cause copycat suicides or contagion";
"succuba";"succubus";"At least you should use the proper form.";
"suck dick";"";"Are you kidding! Why would you type this!";
"suck me";"";"Are you kidding! Why would you type this!";
"suck my ass";"";"Are you kidding! Why would you type this!";
"suck my dick";"";"Are you kidding! Why would you type this!";
"suck my tit";"";"Are you kidding! Why would you type this!";
"suck off";"";"Are you kidding! Why would you type this!";
"suck";"";"Are you kidding! Why would you type this!";
"suckdick";"";"Are you kidding! Why would you type this!";
"sucker";"";"Are you kidding! Why would you type this!";
"suckme";"";"Are you kidding! Why would you type this!";
"suckmyass";"";"Are you kidding! Why would you type this!";
"suckmydick";"";"Are you kidding! Why would you type this!";
"suckmytit";"";"Are you kidding! Why would you type this!";
"suckoff";"";"Are you kidding! Why would you type this!";
"sudden impulse";"impulse";"At least you should use the proper form.";
"suffer from aids";"person with AIDS";"Use this form, it's better. Trust me.";
"suffer from an injury";"sustain an injury","receive an injury";"Use this form, it's better. Trust me.";
"suffer from injuries";"sustain injuries","receive injuries";"Use this form, it's better. Trust me.";
"suffering from a disability";"has a disability","person with a disability","people with disabilities";"Refer to the person, rather than the disability, first.";
"suffering from a polio";"polio","person who had polio";"Use this form, it's better. Trust me.";
"suffering from a stroke";"individual who has had a stroke";"Use this form, it's better. Trust me.";
"suffering from aids";"person with AIDS";"Use this form, it's better. Trust me.";
"suffering from an injury";"sustain an injury","receive an injury";"Use this form, it's better. Trust me.";
"suffering from an intellectual disability";"person with an intellectual disability";"Describe the behavior or illness without derogatory words.";
"suffering from disabilities";"has a disability","person with a disability","people with disabilities";"Refer to the person, rather than the disability, first.";
"suffering from injuries";"sustain injuries","receive injuries";"Use this form, it's better. Trust me.";
"suffering from intellectual disabilities";"person with an intellectual disability";"Describe the behavior or illness without derogatory words.";
"suffering from multiple sclerosis";"person who has multiple sclerosis";"Refer to a person's condition as a state, not as an affliction.";
"suffering from polio";"polio","person who had polio";"Use this form, it's better. Trust me.";
"suffering from psychosis";"person with a psychotic condition","person with psychosis";"Use this form, it's better. Trust me.";
"suffering from schizophrenia";"person with schizophrenia";"Use this form, it's better. Trust me.";
"suffers from MD";"person who has muscular dystrophy";"Use this form, it's better. Trust me.";
"suffers from aids";"person with AIDS";"Use this form, it's better. Trust me.";
"suffers from an injury";"sustain an injury","receive an injury";"Use this form, it's better. Trust me.";
"suffers from disabilities";"has a disability","person with a disability","people with disabilities";"Refer to the person, rather than the disability, first.";
"suffers from injuries";"sustain injuries","receive injuries";"Use this form, it's better. Trust me.";
"suffers from intellectual disabilities";"person with an intellectual disability";"Describe the behavior or illness without derogatory words.";
"suffers from multiple sclerosis";"person who has multiple sclerosis";"Refer to a person's condition as a state, not as an affliction.";
"suffers from muscular dystrophy";"person who has muscular dystrophy";"Use this form, it's better. Trust me.";
"suffers from polio";"polio","person who had polio";"Use this form, it's better. Trust me.";
"suffers from psychosis";"person with a psychotic condition","person with psychosis";"Use this form, it's better. Trust me.";
"suffers from schizophrenia";"person with schizophrenia";"Use this form, it's better. Trust me.";
"sufficience";"sufficiency";"At least you should use the proper form.";
"sufficient enough";"sufficient";"At least you should use the proper form.";
"suggestable";"suggestible";"This is the correct spelling";
"suicide epidemic";"rise in suicides";"Attempted suicide should not be depicted as a failure";
"suicide note";"a note from the deceased";"When describing the behavior of computer software, using the word “hanged” needlessly invokes the topic of death by self-harm or lynching.  Consider using the word “froze” or the phrase “stopped responding to events” or “became unresponsive” instead.";
"suicide pact";"rise in suicides";"Attempted suicide should not be depicted as a failure";
"suicide";"";"Are you kidding! Why would you type this!";
"sum1";"";"Are you kidding! Why would you type this!";
"summer season";"summer";"At least you should use the proper form.";
"sunday";"Sunday";"At least you should use the proper form.";
"sung";"";"Don't use this word";
"sunk";"";"Don't use this word";
"superb";"exceptional";"Emotional Word Detected";
"superior than";"higher-quality than";"At least you should use the proper form.";
"superior";"higher-quality";"Emotional Word Detected";
"superman";"titan";"Using gender neutral language means users will help to break up gender stereotypes";
"supermen";"titans";"Using gender neutral language means users will help to break up gender stereotypes";
"superwoman";"titan";"Using gender neutral language means users will help to break up gender stereotypes";
"superwomen";"titans";"Using gender neutral language means users will help to break up gender stereotypes";
"suppliant";"supplicant";"At least you should use the proper form.";
"supported";"reinforced";"Emotional Word Detected";
"supposed";"";"Filler Word Detected";
"suppressable";"suppressible";"This is the correct spelling";
"sure bet";"";"No. Just no. Don't say this";
"sure";"assured";"Emotional Word Detected";
"surmisal";"surmise";"At least you should use the proper form.";
"surprised";"astonished";"Emotional Word Detected";
"surprisingly";"";"Don't use this word";
"surrounded on all sides";"surrounded";"At least you should use the proper form.";
"surrounding circumstances";"circumstances";"At least you should use the proper form.";
"surveyer";"surveyor";"This is the correct spelling";
"susceptable";"susceptible";"This is the correct spelling";
"suspendible";"suspendable";"At least you should use the proper form.";
"suspicious";"distrustful";"Emotional Word Detected";
"swallow";"";"Are you kidding! Why would you type this!";
"swallow-like";"hirundine";"There is a word for that";
"swallower";"";"Are you kidding! Why would you type this!";
"swalow";"";"Are you kidding! Why would you type this!";
"sweating blood";"";"Don't use this word";
"sweating bullets";"";"Don't use this word";
"sweetness";"";"Are you kidding! Why would you type this!";
"swept";"";"Don't use this word";
"swign dixx";"";"Are you kidding! Why would you type this!";
"swine-like";"suilline";"There is a word for that";
"swing dixx";"";"Are you kidding! Why would you type this!";
"swingin dixx";"";"Are you kidding! Why would you type this!";
"swinging dicks";"";"Are you kidding! Why would you type this!";
"swollen";"";"Don't use this word";
"sworn affidavit";"affidavit";"At least you should use the proper form.";
"sworn";"";"Don't use this word";
"swum";"";"Don't use this word";
"swung";"";"Don't use this word";
"synergize";"collaborate";"Don't use this word";
"synergy";"Collaboration";"Don't use this word";
"synthetize";"synthesize";"At least you should use the proper form.";
"syphilis";"";"Are you kidding! Why would you type this!";
"systemize";"systematize";"At least you should use the proper form.";
"tactual";"tactile";"At least you should use the proper form.";
"take a load off";"";"Don't use this word";
"take it offline";"address separately";"Don't use this word";
"take one for the team";"";"Don't use this word";
"take prescience over";"take precedence over";"At least you should use the proper form.";
"take the bait";"";"Don't use this word";
"take the bull by the horns";"";"Don't use this word";
"take the plunge";"";"Don't use this word";
"take this offline";"";"Don't use this word";
"taken";"";"Don't use this word";
"takes one to know one";"";"Don't use this word";
"takes the cake";"straightforward";"Unconcious Bias Detected";
"takes two to tango";"";"Don't use this word";
"taking off momentarily";"";"Don't use this word";
"talismen";"talismans";"At least you should use the proper form.";
"tall in height";"tall";"Use this form, it's better. Trust me.";
"tall in stature";"tall";"Use this form, it's better. Trust me.";
"tampon";"";"Are you kidding! Why would you type this!";
"tang";"";"Are you kidding! Why would you type this!";
"tangental";"tangential";"At least you should use the proper form.";
"taught";"";"Don't use this word";
"tautologous";"tautological";"At least you should use the proper form.";
"tax man";"tax commissioner","tax office","tax collector";"Use this form, it's better. Trust me.";
"tee-shirt";"T-shirt";"At least you should use the proper form.";
"temporary bivouac";"bivouac";"Use this form, it's better. Trust me.";
"temporary reprieve";"reprieve";"At least you should use the proper form.";
"ten in number";"ten";"At least you should use the proper form.";
"tenacious";"persistent";"Emotional Word Detected";
"tenderbox";"tinderbox";"This is the correct spelling";
"tense";"strained";"Emotional Word Detected";
"terrable";"dreadful";"This is the correct spelling";
"terrible";"dreadful";"Emotional Word Detected";
"terrific";"exceptional";"Emotional Word Detected";
"terrified";"horrified";"Emotional Word Detected";
"testatrix";"testator";"This is the correct spelling";
"testicle";"";"Are you kidding! Why would you type this!";
"testicles";"";"Are you kidding! Why would you type this!";
"tete-a-tete";"tête-à-tête";"It's French";
"than you can shake a stick at";"";"Don't use this word";
"thankful";"grateful";"Emotional Word Detected";
"thanking you in advance";"";"Are you kidding! Why would you type this!";
"the 'take-home message'";"";"No. Just no. Don't say this";
"the cream of the crop";"";"Don't use this word";
"the cream rises to the top";"";"Don't use this word";
"the disabled";"the disability community";"Unconcious Bias Detected";
"the fact that he had not succeeded";"his failure";"At least you should use the proper form.";
"the fact that i had arrived";"my arrival";"At least you should use the proper form.";
"the highway medium";"the highway median";"At least you should use the proper form.";
"the more the merrier";"";"Don't use this word";
"the password is";"";"No. Just no. Don't say this";
"the password's";"";"No. Just no. Don't say this";
"the question as to whether";"whether";"At least you should use the proper form.";
"the real McCoy";"";"Don't use this word";
"the real deal";"";"Don't use this word";
"the reason why is that";"because";"At least you should use the proper form.";
"the red carpet treatment";"";"Don't use this word";
"the resume";"the résumé";"It's French";
"the same old story";"";"Don't use this word";
"the straw that broke the camel's back";"";"Don't use this word";
"the undersigned";"";"Are you kidding! Why would you type this!";
"the whole entire nation";"the nation";"At least you should use the proper form.";
"thenceforward";"thenceforth";"At least you should use the proper form.";
"there is no accounting for taste";"";"Don't use this word";
"there is no doubt but that";"no doubt";"At least you should use the proper form.";
"there is";"exists";"Indirect Word Detected";
"these ones";"these";"At least you should use the proper form.";
"they themselves";"they";"At least you should use the proper form.";
"thick as a brick";"";"Don't use this word";
"thick as thieves";"";"Don't use this word";
"thin as a rail";"";"Don't use this word";
"thing";"";"Be More specific";
"things";"items";"Be more specific";
"think outside of the box";"";"Don't use this word";
"think outside the box";"explore new ideas";"Don't use this word";
"think";"consider";"Indirect Word Detected";
"thinking outside the box";"";"Don't use this word";
"thinks";"considers";"Indirect Word Detected";
"third eye";"";"Are you kidding! Why would you type this!";
"third leg";"";"Are you kidding! Why would you type this!";
"third quarter gain";"third-quarter gain";"At least you should use the proper form.";
"third quarter loss";"third-quarter loss";"At least you should use the proper form.";
"third time's the charm";"";"Don't use this word";
"thirdeye";"";"Are you kidding! Why would you type this!";
"thirdleg";"";"Are you kidding! Why would you type this!";
"this acknowledges your letter";"";"Are you kidding! Why would you type this!";
"this day and age";"";"Don't use this word";
"this hurts me worse than it hurts you";"";"Don't use this word";
"this is a subject that";"this subject";"At least you should use the proper form.";
"this point in time";"";"Don't use this word";
"this will acknowledge";"";"Don't use this word";
"those ones";"those";"At least you should use the proper form.";
"thought leaders";"";"Don't use this word";
"thought";"";"Filler Word Detected";
"threatened";"endangered";"Emotional Word Detected";
"three part harmony";"three-part harmony";"At least you should use the proper form.";
"three sheets to the wind";"";"Don't use this word";
"three some";"";"Are you kidding! Why would you type this!";
"three-way love triangle";"love triangle";"At least you should use the proper form.";
"threesome";"";"Are you kidding! Why would you type this!";
"thrilled";"content";"Emotional Word Detected";
"thrived";"";"Don't use this word";
"through thick and thin";"";"Don't use this word";
"throughout the entire";"throughout the";"At least you should use the proper form.";
"throw in the towel";"";"Don't use this word";
"throw the baby out with the bathwater";"";"Don't use this word";
"thrown under the bus";"";"Don't use this word";
"thrown";"";"Don't use this word";
"thrust";"";"Don't use this word";
"thumbs up sign";"thumbs-up sign";"At least you should use the proper form.";
"thursday";"Thursday";"At least you should use the proper form.";
"thusly";"thus";"At least you should use the proper form.";
"tickedoff";"irritated";"Emotional Word Detected";
"tie one on";"";"Don't use this word";
"tiger-like";"tigrine";"There is a word for that";
"tighter than a drum";"";"Don't use this word";
"time and time again";"";"Don't use this word";
"time clock";"clock";"At least you should use the proper form.";
"time honored tradition";"time-honored tradition";"At least you should use the proper form.";
"time is of the essence";"";"Don't use this word";
"timpani drum";"timpani";"At least you should use the proper form.";
"tiny bit";"bit";"At least you should use the proper form.";
"tiny";"minuscule";"Weasel Word Detected";
"tip of the iceberg";"";"Don't use this word";
"tired but happy";"";"Don't use this word";
"tit bit nipply";"";"Are you kidding! Why would you type this!";
"tit fuck";"";"Are you kidding! Why would you type this!";
"tit fucker";"";"Are you kidding! Why would you type this!";
"tit fuckin";"";"Are you kidding! Why would you type this!";
"tit job";"";"Are you kidding! Why would you type this!";
"tit licker";"";"Are you kidding! Why would you type this!";
"tit lover";"";"Are you kidding! Why would you type this!";
"tit";"";"Are you kidding! Why would you type this!";
"titbitnipply";"";"Are you kidding! Why would you type this!";
"titfuck";"";"Are you kidding! Why would you type this!";
"titfucker";"";"Are you kidding! Why would you type this!";
"titfuckin";"";"Are you kidding! Why would you type this!";
"titjob";"";"Are you kidding! Why would you type this!";
"titlicker";"";"Are you kidding! Why would you type this!";
"titlover";"";"Are you kidding! Why would you type this!";
"titmouses";"titmice";"At least you should use the proper form.";
"tits";"";"Are you kidding! Why would you type this!";
"titties";"";"Are you kidding! Why would you type this!";
"titty";"";"Are you kidding! Why would you type this!";
"to a certain degree";"";"No. Just no. Don't say this";
"to coin a phrase from";"";"Are you kidding! Why would you type this!";
"to coin a phrase";"";"Don't use this word";
"to each his own";"";"Don't use this word";
"to make a long story short";"";"Don't use this word";
"to make due";"to make do";"This is the correct spelling";
"to the best of my knowledge";"";"Don't use this word";
"to the manor born";"to the manner born";"At least you should use the proper form.";
"to wit";"";"Don't use this word";
"toads";"knot";"A group of toads  is called a  knot";
"todo";"";"Don't use this word";
"toe the line";"";"Don't use this word";
"toilet bowl";"";"Are you kidding! Why would you type this!";
"toilet";"";"Are you kidding! Why would you type this!";
"told";"";"Don't use this word";
"tongethruster";"";"Are you kidding! Why would you type this!";
"tongue in cheek";"";"Don't use this word";
"tongue thruster";"";"Are you kidding! Why would you type this!";
"tongue tramp";"";"Are you kidding! Why would you type this!";
"tongue";"";"Are you kidding! Why would you type this!";
"tonguethrust";"";"Are you kidding! Why would you type this!";
"tonguetramp";"";"Are you kidding! Why would you type this!";
"too good to be true";"";"Don't use this word";
"too hot to handle";"";"Don't use this word";
"too many chiefs";"defend";"Avoid using phrases referring to colonial stereotypes regarding Native Americans.";
